Feature,Importance
ENSG00000139112,0.037821530803436976
ENSG00000273238,0.026315789473684213
ENSG00000235026,0.026315789473684213
ENSG00000228058,0.026315789473684213
ENSG00000215475,0.026315789473684213
ENSG00000204071,0.026315789473684213
ENSG00000186297,0.026315789473684213
ENSG00000185518,0.026315789473684213
ENSG00000184156,0.026315789473684213
ENSG00000174469,0.026315789473684213
ENSG00000171671,0.026315789473684213
ENSG00000171132,0.026315789473684213
ENSG00000170919,0.026315789473684213
ENSG00000167258,0.026315789473684213
ENSG00000165730,0.026315789473684213
ENSG00000165240,0.026315789473684213
ENSG00000157107,0.026315789473684213
ENSG00000143153,0.026315789473684213
ENSG00000132970,0.026315789473684213
ENSG00000132294,0.026315789473684213
ENSG00000129355,0.026315789473684213
ENSG00000128656,0.026315789473684213
ENSG00000109670,0.026315789473684213
ENSG00000107242,0.026315789473684213
ENSG00000100711,0.026315789473684213
ENSG00000078902,0.026315789473684213
ENSG00000073670,0.026315789473684213
ENSG00000066248,0.026315789473684213
ENSG00000082556,0.01503827519768942
ENSG00000189280,0.015002685052260123
ENSG00000221823,0.01481004814393145
ENSG00000175772,0.014754128393752735
ENSG00000125851,0.014509451338744293
ENSG00000065135,0.014502526664059628
ENSG00000092051,0.013932530547768641
ENSG00000134709,0.013784922556615455
ENSG00000155265,0.013716478791055638
ENSG00000233818,0.013210690956636652
ENSG00000259834,0.01310509851704756
ENSG00000166501,0.012599310682628572
ENSG00000113083,0.01253086691706876
ENSG00000053108,0.012383258925915575
ENSG00000171735,0.011813262809624588
ENSG00000137198,0.01180633813493992
ENSG00000102468,0.01156166107993148
ENSG00000261963,0.011313104421424088
ENSG00000210154,0.011277514275994792
