Feature,Importance
ENSG00000229056,0.05405405405405404
ENSG00000243509,0.041208299028268905
ENSG00000228495,0.02702702702702702
ENSG00000226928,0.02702702702702702
ENSG00000224063,0.02702702702702702
ENSG00000213089,0.02702702702702702
ENSG00000204287,0.02702702702702702
ENSG00000185090,0.02702702702702702
ENSG00000180644,0.02702702702702702
ENSG00000180139,0.02702702702702702
ENSG00000172817,0.02702702702702702
ENSG00000168542,0.02702702702702702
ENSG00000167202,0.02702702702702702
ENSG00000166130,0.02702702702702702
ENSG00000164220,0.02702702702702702
ENSG00000164070,0.02702702702702702
ENSG00000163072,0.02702702702702702
ENSG00000159167,0.02702702702702702
ENSG00000157554,0.02702702702702702
ENSG00000157107,0.02702702702702702
ENSG00000155962,0.02702702702702702
ENSG00000152104,0.02702702702702702
ENSG00000148848,0.02702702702702702
ENSG00000125398,0.02702702702702702
ENSG00000122870,0.02702702702702702
ENSG00000116237,0.02702702702702702
ENSG00000112562,0.02702702702702702
ENSG00000106608,0.02702702702702702
ENSG00000039560,0.02702702702702702
ENSG00000020181,0.02702702702702702
ENSG00000124225,0.01652418265406902
ENSG00000138650,0.015461204514608352
ENSG00000176658,0.015091444435087916
ENSG00000150593,0.014632175278079387
ENSG00000181449,0.013913369118090844
ENSG00000196704,0.013113657908936174
ENSG00000259134,0.012845755025785138
ENSG00000160888,0.012394851748947633
ENSG00000170955,0.011935582591939106
ENSG00000111799,0.01156582251241867
ENSG00000182871,0.010502844372958
