Feature,Importance
ENSG00000085433,0.03533230081301483
ENSG00000082556,0.03018069972890018
ENSG00000125814,0.022094999526021786
ENSG00000283183,0.02
ENSG00000185518,0.02
ENSG00000184156,0.02
ENSG00000163412,0.02
ENSG00000162852,0.02
ENSG00000151150,0.02
ENSG00000147246,0.02
ENSG00000140403,0.02
ENSG00000133169,0.02
ENSG00000132932,0.02
ENSG00000128656,0.02
ENSG00000117152,0.02
ENSG00000109738,0.02
ENSG00000066248,0.02
ENSG00000010438,0.02
ENSG00000184515,0.015830715627386433
ENSG00000143153,0.015724137995201715
ENSG00000129355,0.015571117488604357
ENSG00000154511,0.015419942330072768
ENSG00000127585,0.015116874908470794
ENSG00000167281,0.015061787394953015
ENSG00000108684,0.014828594715518015
ENSG00000189241,0.0147974333725328
ENSG00000155265,0.014493799114116846
ENSG00000175772,0.014427974126866083
ENSG00000119888,0.013709031093283421
ENSG00000174469,0.013572136620745238
ENSG00000149970,0.013463293499112685
ENSG00000163624,0.012915983297828303
ENSG00000047849,0.012817755187132513
ENSG00000108828,0.012734856714930652
ENSG00000008086,0.012557630658863832
ENSG00000109670,0.012072048244412222
ENSG00000185742,0.011477698666110054
ENSG00000129559,0.011006480161641312
ENSG00000131437,0.010862446046348246
ENSG00000065665,0.010820234792904122
ENSG00000135046,0.010653926801915507
ENSG00000172915,0.010455331048940872
ENSG00000100711,0.010354291363936062
ENSG00000231233,0.009597443821024915
ENSG00000215712,0.009544668951059128
ENSG00000144331,0.009346073198084491
ENSG00000136231,0.009179765207095876
ENSG00000198354,0.009110489397444401
ENSG00000108231,0.00911044132659507
ENSG00000197885,0.00907592215136769
