Feature,Importance
ENSG00000259554,0.020833333333333332
ENSG00000180044,0.020833333333333332
ENSG00000172817,0.020833333333333332
ENSG00000086200,0.020833333333333332
ENSG00000005812,0.020833333333333332
ENSG00000128694,0.014787087997051874
ENSG00000165169,0.01468089408004262
ENSG00000115944,0.014424754580451083
ENSG00000148019,0.013560435549612648
ENSG00000204370,0.012563543160813567
ENSG00000122566,0.012414810014924879
ENSG00000039560,0.012228972884963545
ENSG00000113083,0.012022606419041475
ENSG00000128567,0.011960008762149898
ENSG00000233818,0.01192120406992668
ENSG00000010438,0.011655586769002866
ENSG00000168672,0.011498117762861542
ENSG00000165527,0.011465721590711178
ENSG00000206120,0.011453677825289383
ENSG00000162772,0.011384355098352531
ENSG00000259255,0.01134211147513446
ENSG00000072786,0.011236799591434485
ENSG00000134802,0.010594086016273789
ENSG00000112531,0.01026280691023383
ENSG00000162368,0.009950204701216608
ENSG00000169744,0.009677868773307523
ENSG00000145817,0.009669963913423271
ENSG00000196510,0.009622924106312256
ENSG00000110328,0.009491221858198872
ENSG00000164106,0.00937965550804395
ENSG00000183785,0.009367611742622154
ENSG00000196247,0.009339474196776729
ENSG00000157045,0.00933521557047179
ENSG00000157851,0.00917774656433047
ENSG00000198832,0.008912129263406654
ENSG00000177311,0.008888708406678979
ENSG00000117399,0.008873324571183436
ENSG00000105894,0.008748009094319257
ENSG00000197756,0.008697004690417042
ENSG00000100316,0.00860436044836979
ENSG00000176771,0.008439858528827369
ENSG00000109956,0.008418523318408455
ENSG00000164808,0.0083292287043036
ENSG00000172201,0.008269790172519763
ENSG00000178726,0.00809755778232441
ENSG00000267583,0.007676250925455674
ENSG00000060140,0.0075347105159056125
ENSG00000186184,0.0072728977837206886
ENSG00000103241,0.0071224342359795965
ENSG00000138031,0.006979437778346376
