Feature,Importance
ENSG00000185909,0.020000000000000004
ENSG00000184497,0.020000000000000004
ENSG00000163788,0.020000000000000004
ENSG00000161940,0.020000000000000004
ENSG00000157554,0.020000000000000004
ENSG00000152977,0.020000000000000004
ENSG00000128567,0.020000000000000004
ENSG00000267583,0.019701295698375962
ENSG00000103966,0.018804748010675033
ENSG00000181826,0.016833439129999104
ENSG00000168542,0.016735522581968365
ENSG00000086200,0.016424281085740112
ENSG00000188157,0.016292240018933337
ENSG00000085871,0.01612975479688011
ENSG00000166130,0.016085327844186006
ENSG00000122376,0.01509715262556687
ENSG00000172965,0.0148136088381986
ENSG00000027075,0.014575278971954589
ENSG00000143127,0.014432635556091472
ENSG00000019549,0.014381870059237675
ENSG00000155962,0.01393671343720236
ENSG00000165527,0.01391605314020622
ENSG00000258479,0.013843512721944342
ENSG00000100647,0.01331903717078071
ENSG00000138650,0.013282339160002743
ENSG00000020181,0.013149637943353878
ENSG00000185633,0.013023102528256742
ENSG00000137273,0.012983810685001583
ENSG00000176658,0.012982971385467494
ENSG00000180543,0.012896528422701798
ENSG00000178718,0.012589228495180082
ENSG00000174236,0.012543949561666443
ENSG00000167202,0.01231549887972009
ENSG00000229056,0.011525323959236758
ENSG00000267279,0.011455421400669722
ENSG00000128917,0.011392293246176317
ENSG00000138722,0.011138693525201962
ENSG00000178726,0.01110017950097258
ENSG00000164116,0.010933609542828144
ENSG00000213626,0.010819337912644802
ENSG00000138594,0.010749132817440514
ENSG00000107679,0.01066639293187911
ENSG00000166888,0.01060717994823971
ENSG00000170962,0.010334998020040558
ENSG00000170340,0.009574096493477735
ENSG00000169129,0.009566003260836049
ENSG00000112303,0.009392820051760292
ENSG00000148848,0.009333607068120892
ENSG00000129422,0.009066390457171858
ENSG00000180139,0.008926607080849192
